event_type	onset	duration	height	word
1.001	0.000	13.624	1	
2.010	14.624	10.431	1	
1.002	40.337	18.733	1	
2.009	60.069	16.817	1	
1.003	92.168	15.487	1	
2.008	108.655	18.360	1	
1.004	142.297	17.509	1	
2.007	160.806	13.092	1	
1.005	189.179	17.775	1	
2.006	207.954	16.764	1	
1.006	240.000	16.764	1	
2.005	257.764	17.775	1	
1.007	290.821	13.092	1	
2.004	304.912	17.509	1	
1.008	337.703	18.360	1	
2.003	357.063	15.487	1	
1.009	387.832	16.817	1	
2.002	405.649	18.733	1	
1.010	439.663	10.431	1	
2.001	451.094	13.624	1	
