event_type	onset	duration	height	word
7	125.772	0.000	0	sadu?
7	126.879	0.000	0	Slej
7	127.076	0.000	0	magn
7	127.392	0.000	0	eh
7	127.524	0.000	0	ges
7	127.985	0.000	0	ijs
7	128.525	0.000	0	mof
7	128.785	0.000	0	nijgih
7	128.854	0.000	0	fa?
7	130.013	0.000	0	Cwez
7	130.237	0.000	0	ropa
7	130.553	0.000	0	guc
7	130.711	0.000	0	gluru
7	130.988	0.000	0	skuhj?
7	132.371	0.000	0	
3	147.802	13.203	1	
6	148.299	0.000	0	Hundreds
6	148.770	0.000	0	of
6	148.907	0.000	0	words
6	149.292	0.000	0	and
6	149.463	0.000	0	phrases
6	149.960	0.000	0	we
6	150.071	0.000	0	use
6	150.362	0.000	0	every
6	150.735	0.000	0	day
6	151.261	0.000	0	were
6	151.437	0.000	0	invented
6	151.839	0.000	0	by
6	152.092	0.000	0	him—
6	152.858	0.000	0	words
6	153.171	0.000	0	like
6	153.860	0.000	0	cold-blooded,
6	155.080	0.000	0	quarrelsome,
6	156.022	0.000	0	and
6	156.223	0.000	0	love
6	156.424	0.000	0	letter.
6	157.550	0.000	0	His
6	157.705	0.000	0	language,
6	158.253	0.000	0	ideas,
6	158.831	0.000	0	and
6	158.950	0.000	0	stories
6	159.657	0.000	0	are
6	159.858	0.000	0	all
6	159.978	0.000	0	around
6	160.363	0.000	0	us.
6	161.005	0.000	0	
4	162.005	16.444	1	
7	162.496	0.000	0	Ma
7	162.709	0.000	0	mwan
7	162.965	0.000	0	njog
7	163.135	0.000	0	qo
7	163.317	0.000	0	nencuib
7	164.106	0.000	0	ecs
7	164.362	0.000	0	bwid
7	164.543	0.000	0	fo
7	164.778	0.000	0	nuj
7	164.948	0.000	0	tbosvcov.
7	166.569	0.000	0	Vo
7	166.708	0.000	0	gwap
7	166.921	0.000	0	bu
7	167.102	0.000	0	raws'w
7	167.454	0.000	0	womu
7	167.721	0.000	0	mavw
7	167.902	0.000	0	lec
7	168.094	0.000	0	xihocb
7	168.905	0.000	0	rij
7	169.097	0.000	0	vicn
7	169.459	0.000	0	daopt.
7	170.707	0.000	0	Ervqouv,
7	171.837	0.000	0	yo
7	172.061	0.000	0	surj
7	172.253	0.000	0	pu
7	172.499	0.000	0	Zerliv,
7	173.554	0.000	0	xruvo
7	173.757	0.000	0	wa
7	173.885	0.000	0	juzivo
7	174.237	0.000	0	um
7	174.333	0.000	0	ejsav,
7	175.474	0.000	0	mfivgbusnb,
7	176.604	0.000	0	udn
7	176.737	0.000	0	u
7	176.871	0.000	0	puxiwkad
7	177.393	0.000	0	iq
7	177.500	0.000	0	xjogj.
7	178.449	0.000	0	
3	193.880	15.314	1	
6	194.257	0.000	0	Although
6	194.784	0.000	0	William
6	195.141	0.000	0	Shakespeare
6	195.846	0.000	0	is
6	196.025	0.000	0	very
6	196.333	0.000	0	famous,
6	197.296	0.000	0	we
6	197.495	0.000	0	don't
6	197.684	0.000	0	know
6	197.887	0.000	0	a
6	197.991	0.000	0	lot
6	198.250	0.000	0	about
6	198.577	0.000	0	him.
6	199.928	0.000	0	Much
6	200.246	0.000	0	of
6	200.310	0.000	0	his
6	200.454	0.000	0	personal
6	200.866	0.000	0	life
6	201.264	0.000	0	remains
6	201.696	0.000	0	a
6	201.745	0.000	0	mystery.
6	203.329	0.000	0	Back
6	203.548	0.000	0	in
6	203.677	0.000	0	the
6	203.786	0.000	0	1500s,
6	205.221	0.000	0	not
6	205.420	0.000	0	many
6	205.703	0.000	0	records
6	206.184	0.000	0	were
6	196.319	0.000	0	kept
6	207.188	0.000	0	for
6	207.356	0.000	0	the
6	207.510	0.000	0	average
6	207.898	0.000	0	person.
6	209.194	0.000	0	
