event_type	onset	duration	height	word
3	0.000	11.356	1	
6	0.574	0.000	0	One
6	1.090	0.000	0	day
6	2.327	0.000	0	the
6	2.592	0.000	0	Edisons
6	4.301	0.000	0	couldn't
6	4.831	0.000	0	find
6	5.759	0.000	0	six-year-old
6	7.099	0.000	0	Al,
6	8.469	0.000	0	as
6	8.823	0.000	0	his
6	9.161	0.000	0	family
6	9.898	0.000	0	called
6	10.281	0.000	0	him.
6	11.356	0.000	0	
4	12.356	11.758	1	
7	12.753	0.000	0	Bfiq
7	13.119	0.000	0	ol
7	13.424	0.000	0	iwermdv
7	14.613	0.000	0	grow
7	15.055	0.000	0	ri
7	15.299	0.000	0	exsavktodjun.
7	16.779	0.000	0	Rtukud
7	17.358	0.000	0	Ezde
7	17.953	0.000	0	Ajedit
7	18.776	0.000	0	len,
7	19.386	0.000	0	dubboln,
7	20.881	0.000	0	cni
7	21.079	0.000	0	rdueruny
7	21.659	0.000	0	alpoqpad
7	22.772	0.000	0	iq
7	23.046	0.000	0	xek
7	23.306	0.000	0	zuqu.
7	24.114	0.000	0	
3	38.772	19.338	1	
6	39.348	0.000	0	They
6	39.624	0.000	0	were
6	39.825	0.000	0	visiting
6	41.205	0.000	0	Al's
6	41.706	0.000	0	older
6	42.258	0.000	0	sister
6	43.612	0.000	0	and
6	43.963	0.000	0	her
6	44.189	0.000	0	husband
6	45.769	0.000	0	on
6	46.070	0.000	0	their
6	46.396	0.000	0	farm.
6	48.102	0.000	0	It
6	48.328	0.000	0	was
6	48.679	0.000	0	just
6	49.155	0.000	0	outside
6	50.861	0.000	0	of
6	51.212	0.000	0	Milan,
6	52.115	0.000	0	Ohio.
6	54.222	0.000	0	The
6	54.598	0.000	0	year
6	55.626	0.000	0	was
6	56.404	0.000	0	1853.
6	58.110	0.000	0	
4	59.110	11.497	1	
7	59.453	0.000	0	Iyavuv
7	60.571	0.000	0	hocdwz
7	61.197	0.000	0	horoiyuw
7	62.017	0.000	0	er
7	62.316	0.000	0	olwagyuucb,
7	64.314	0.000	0	usam
7	64.836	0.000	0	hcic
7	65.044	0.000	0	duopx
7	65.208	0.000	0	dija
7	66.029	0.000	0	amignzuc
7	66.714	0.000	0	zari
7	67.535	0.000	0	aigaay
7	68.728	0.000	0	oky
7	69.160	0.000	0	baju
7	69.458	0.000	0	revsehxefpu.
7	70.607	0.000	0	
3	85.264	19.818	1	
6	85.701	0.000	0	Suddenly
6	87.706	0.000	0	Al's
6	88.349	0.000	0	uncle
6	89.917	0.000	0	had
6	90.559	0.000	0	an
6	90.971	0.000	0	idea.
6	92.924	0.000	0	He
6	93.284	0.000	0	ran
6	94.672	0.000	0	out
6	94.929	0.000	0	to
6	95.160	0.000	0	the
6	95.366	0.000	0	barn
6	96.780	0.000	0	and
6	97.165	0.000	0	there
6	97.911	0.000	0	he
6	98.194	0.000	0	had
6	98.502	0.000	0	found
6	99.582	0.000	0	Al
6	100.995	0.000	0	sitting
6	101.869	0.000	0	on
6	102.795	0.000	0	a
6	103.052	0.000	0	pile
6	103.771	0.000	0	of
6	104.029	0.000	0	straw.
6	105.082	0.000	0	
4	106.082	13.701	1	
7	106.420	0.000	0	Ox
7	106.757	0.000	0	xop
7	107.077	0.000	0	Osazax
7	108.339	0.000	0	tvu
7	108.641	0.000	0	puhi
7	109.974	0.000	0	uwx
7	110.560	0.000	0	uz
7	110.863	0.000	0	fyufo
7	111.520	0.000	0	tazvosma
7	113.386	0.000	0	epm
7	113.955	0.000	0	gepb
7	114.417	0.000	0	pada,
7	116.105	0.000	0	nguqfapr
7	116.833	0.000	0	iib
7	117.118	0.000	0	texim
7	118.362	0.000	0	situkok.
7	119.783	0.000	0	
3	134.441	19.929	1	
6	135.526	0.000	0	He
6	135.940	0.000	0	was
6	136.457	0.000	0	trying
6	138.163	0.000	0	to
6	138.551	0.000	0	hatch
6	140.050	0.000	0	a
6	140.308	0.000	0	goose
6	140.825	0.000	0	egg.
6	142.557	0.000	0	He
6	142.893	0.000	0	had
6	143.255	0.000	0	seen
6	144.599	0.000	0	a
6	144.883	0.000	0	hen
6	146.046	0.000	0	sitting
6	147.158	0.000	0	on
6	147.468	0.000	0	her
6	147.701	0.000	0	eggs
6	149.355	0.000	0	when
6	149.846	0.000	0	some
6	150.260	0.000	0	baby
6	150.957	0.000	0	chicks
6	152.379	0.000	0	came
6	152.896	0.000	0	out.
6	154.370	0.000	0	
4	155.370	20.733	1	
7	155.854	0.000	0	Dpo
7	156.230	0.000	0	tekvg
7	157.171	0.000	0	rub
7	157.655	0.000	0	domx
7	158.113	0.000	0	vovhocikz
7	159.618	0.000	0	qsux
7	159.968	0.000	0	Nkekec
7	161.071	0.000	0	Uhbo
7	161.743	0.000	0	Osadih
7	163.356	0.000	0	bur
7	163.571	0.000	0	o
7	163.733	0.000	0	wzeqt—
7	166.583	0.000	0	pa
7	166.960	0.000	0	awibhbay
7	167.807	0.000	0	wujtb
7	168.775	0.000	0	yu
