event_type	onset	duration	height	word
1.001	0.000	17.795	1	
2.010	18.795	13.899	1	
1.002	47.674	12.886	1	
2.009	61.560	16.970	1	
1.003	93.510	15.148	1	
2.008	109.657	16.741	1	
1.004	141.379	17.775	1	
2.007	160.154	20.329	1	
1.005	195.463	12.985	1	
2.006	209.448	15.572	1	
1.006	240.000	15.572	1	
2.005	256.572	12.985	1	
1.007	284.537	20.329	1	
2.004	305.866	17.775	1	
1.008	338.621	16.741	1	
2.003	356.362	15.148	1	
1.009	386.490	16.970	1	
2.002	404.460	12.886	1	
1.010	432.326	13.899	1	
2.001	447.225	17.795	1	
